sep=,
"Time","INV_DC_Bus_Voltage","INV_DC_Bus_Current"
2025-06-03 18:56:22,0.0200 Volts,0 Amps
2025-06-03 18:56:22,0.0400 Volts,0 Amps
2025-06-03 18:56:22,0 Volts,0 Amps
2025-06-03 18:56:22,0.0200 Volts,0 Amps
2025-06-03 18:56:22,0 Volts,0 Amps
2025-06-03 18:56:22,0.0400 Volts,0 Amps
2025-06-03 18:56:22,0.0400 Volts,0 Amps
2025-06-03 18:56:22,0.0250 Volts,0 Amps
2025-06-03 18:56:22,0.0250 Volts,0 Amps
2025-06-03 18:56:23,0.0333 Volts,0 Amps
2025-06-03 18:56:23,0.0200 Volts,0 Amps
2025-06-03 18:56:23,0.0400 Volts,0 Amps
2025-06-03 18:56:23,0.0750 Volts,0 Amps
2025-06-03 18:56:23,0.0200 Volts,0 Amps
2025-06-03 18:56:23,0 Volts,0 Amps
2025-06-03 18:56:23,0.0667 Volts,0 Amps
2025-06-03 18:56:23,0.0500 Volts,0 Amps
2025-06-03 18:56:23,0.0200 Volts,0 Amps
2025-06-03 18:56:23,0.0400 Volts,0 Amps
2025-06-03 18:56:24,0.0200 Volts,0 Amps
2025-06-03 18:56:24,0.0250 Volts,0 Amps
2025-06-03 18:56:24,0 Volts,0 Amps
2025-06-03 18:56:24,0.0200 Volts,0 Amps
2025-06-03 18:56:24,0.0200 Volts,0 Amps
2025-06-03 18:56:24,0 Volts,0 Amps
2025-06-03 18:56:24,0.0200 Volts,0 Amps
2025-06-03 18:56:24,0 Volts,0 Amps
2025-06-03 18:56:24,0.0333 Volts,0 Amps
2025-06-03 18:56:24,0 Volts,0 Amps
2025-06-03 18:56:25,0.0200 Volts,0 Amps
2025-06-03 18:56:25,0.0200 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0.0750 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0.0200 Volts,0 Amps
2025-06-03 18:56:25,0 Volts,0 Amps
2025-06-03 18:56:25,0.0250 Volts,0 Amps
2025-06-03 18:56:26,0.0167 Volts,0 Amps
2025-06-03 18:56:26,0.0200 Volts,0 Amps
2025-06-03 18:56:26,0 Volts,0 Amps
2025-06-03 18:56:26,0.0400 Volts,0 Amps
2025-06-03 18:56:26,0.0400 Volts,0 Amps
2025-06-03 18:56:26,0.0750 Volts,0 Amps
2025-06-03 18:56:26,0.0200 Volts,0 Amps
2025-06-03 18:56:26,0.0200 Volts,0 Amps
2025-06-03 18:56:26,0 Volts,0 Amps
2025-06-03 18:56:26,0.0200 Volts,0 Amps
2025-06-03 18:56:27,0.0250 Volts,0 Amps
2025-06-03 18:56:27,0 Volts,0 Amps
2025-06-03 18:56:27,0 Volts,0 Amps
2025-06-03 18:56:27,0 Volts,0 Amps
2025-06-03 18:56:27,0.0200 Volts,0 Amps
2025-06-03 18:56:27,0.0250 Volts,0 Amps
2025-06-03 18:56:27,0.0200 Volts,0 Amps
2025-06-03 18:56:27,0.0250 Volts,0 Amps
2025-06-03 18:56:27,0.0500 Volts,0 Amps
2025-06-03 18:56:27,0.0500 Volts,0 Amps
2025-06-03 18:56:28,0.0200 Volts,0 Amps
2025-06-03 18:56:28,0.0400 Volts,0 Amps
2025-06-03 18:56:28,0 Volts,0 Amps
2025-06-03 18:56:28,0.0250 Volts,0 Amps
2025-06-03 18:56:28,0.0200 Volts,0 Amps
2025-06-03 18:56:28,0.0600 Volts,0 Amps
2025-06-03 18:56:28,0.0200 Volts,0 Amps
2025-06-03 18:56:28,0 Volts,0 Amps
2025-06-03 18:56:28,0.0200 Volts,0 Amps
2025-06-03 18:56:28,0 Volts,0 Amps
2025-06-03 18:56:29,0 Volts,0 Amps
2025-06-03 18:56:29,0 Volts,0 Amps
2025-06-03 18:56:29,0.0200 Volts,0 Amps
2025-06-03 18:56:29,0.0400 Volts,0 Amps
2025-06-03 18:56:29,0 Volts,0 Amps
2025-06-03 18:56:29,0 Volts,0 Amps
2025-06-03 18:56:29,0 Volts,0 Amps
2025-06-03 18:56:29,0.0200 Volts,0 Amps
2025-06-03 18:56:29,0 Volts,0 Amps
2025-06-03 18:56:29,0.0200 Volts,0 Amps
2025-06-03 18:56:30,0.0750 Volts,0 Amps
2025-06-03 18:56:30,0.0750 Volts,0 Amps
2025-06-03 18:56:30,0.0333 Volts,0 Amps
2025-06-03 18:56:30,0.0400 Volts,0 Amps
2025-06-03 18:56:30,0.0500 Volts,0 Amps
2025-06-03 18:56:30,0.0200 Volts,0 Amps
2025-06-03 18:56:30,0.0200 Volts,0 Amps
2025-06-03 18:56:30,0.0500 Volts,0 Amps
2025-06-03 18:56:30,0.0200 Volts,0 Amps
2025-06-03 18:56:30,0.0400 Volts,0 Amps
2025-06-03 18:56:31,0.0200 Volts,0 Amps
2025-06-03 18:56:31,0 Volts,0 Amps
2025-06-03 18:56:31,0 Volts,0 Amps
2025-06-03 18:56:31,0 Volts,0 Amps
2025-06-03 18:56:31,0.0167 Volts,0 Amps
2025-06-03 18:56:31,0.0200 Volts,0 Amps
2025-06-03 18:56:31,0.0200 Volts,0 Amps
2025-06-03 18:56:31,0 Volts,0 Amps
2025-06-03 18:56:31,0.0400 Volts,0 Amps
2025-06-03 18:56:31,0.0250 Volts,0 Amps
2025-06-03 18:56:32,0 Volts,0 Amps
