sep=,
"Time","INV_DC_Bus_Voltage","INV_DC_Bus_Current"
2025-06-03 19:00:12,393 Volts,0 Amps
2025-06-03 19:00:12,394 Volts,0 Amps
2025-06-03 19:00:12,393 Volts,0 Amps
2025-06-03 19:00:12,393 Volts,0 Amps
2025-06-03 19:00:12,394 Volts,0 Amps
2025-06-03 19:00:12,394 Volts,0 Amps
2025-06-03 19:00:12,393 Volts,0 Amps
2025-06-03 19:00:12,394 Volts,0 Amps
2025-06-03 19:00:12,394 Volts,0 Amps
2025-06-03 19:00:12,394 Volts,0 Amps
2025-06-03 19:00:13,394 Volts,0 Amps
2025-06-03 19:00:13,393 Volts,0 Amps
2025-06-03 19:00:13,394 Volts,0 Amps
2025-06-03 19:00:13,394 Volts,0 Amps
2025-06-03 19:00:13,394 Volts,0 Amps
2025-06-03 19:00:13,394 Volts,0 Amps
2025-06-03 19:00:13,394 Volts,0 Amps
2025-06-03 19:00:13,394 Volts,0 Amps
2025-06-03 19:00:13,394 Volts,0 Amps
2025-06-03 19:00:13,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:14,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:15,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:16,394 Volts,0 Amps
2025-06-03 19:00:17,394 Volts,0 Amps
2025-06-03 19:00:17,394 Volts,0 Amps
2025-06-03 19:00:17,394 Volts,0.0750 Amps
2025-06-03 19:00:17,394 Volts,0.320 Amps
2025-06-03 19:00:17,394 Volts,0.240 Amps
2025-06-03 19:00:17,393 Volts,0.350 Amps
2025-06-03 19:00:17,393 Volts,0.220 Amps
2025-06-03 19:00:17,393 Volts,0.380 Amps
2025-06-03 19:00:17,393 Volts,0.720 Amps
2025-06-03 19:00:17,393 Volts,0.980 Amps
2025-06-03 19:00:18,393 Volts,1.40 Amps
2025-06-03 19:00:18,393 Volts,1.18 Amps
2025-06-03 19:00:18,393 Volts,1.68 Amps
2025-06-03 19:00:18,392 Volts,2.38 Amps
2025-06-03 19:00:18,392 Volts,3.40 Amps
2025-06-03 19:00:18,392 Volts,3.43 Amps
2025-06-03 19:00:18,392 Volts,4.43 Amps
2025-06-03 19:00:18,392 Volts,4.10 Amps
2025-06-03 19:00:18,392 Volts,4.68 Amps
2025-06-03 19:00:18,391 Volts,5.60 Amps
2025-06-03 19:00:19,391 Volts,6.10 Amps
2025-06-03 19:00:19,391 Volts,6.54 Amps
2025-06-03 19:00:19,391 Volts,6.65 Amps
2025-06-03 19:00:19,390 Volts,7.66 Amps
2025-06-03 19:00:19,390 Volts,8.22 Amps
2025-06-03 19:00:19,390 Volts,8.82 Amps
2025-06-03 19:00:19,390 Volts,9.44 Amps
2025-06-03 19:00:19,390 Volts,10.0 Amps
2025-06-03 19:00:19,390 Volts,10.4 Amps
2025-06-03 19:00:19,390 Volts,10.7 Amps
2025-06-03 19:00:20,389 Volts,11.1 Amps
2025-06-03 19:00:20,389 Volts,11.2 Amps
2025-06-03 19:00:20,389 Volts,11.2 Amps
2025-06-03 19:00:20,390 Volts,10.4 Amps
2025-06-03 19:00:20,390 Volts,9.88 Amps
2025-06-03 19:00:20,390 Volts,10.3 Amps
2025-06-03 19:00:20,389 Volts,10.9 Amps
2025-06-03 19:00:20,389 Volts,11.0 Amps
2025-06-03 19:00:20,389 Volts,11.5 Amps
2025-06-03 19:00:20,389 Volts,11.9 Amps
2025-06-03 19:00:21,389 Volts,11.8 Amps
2025-06-03 19:00:21,389 Volts,11.8 Amps
2025-06-03 19:00:21,389 Volts,12.2 Amps
2025-06-03 19:00:21,389 Volts,12.7 Amps
2025-06-03 19:00:21,389 Volts,12.6 Amps
2025-06-03 19:00:21,389 Volts,12.9 Amps
2025-06-03 19:00:21,389 Volts,12.8 Amps
2025-06-03 19:00:21,389 Volts,13.0 Amps
2025-06-03 19:00:21,389 Volts,13.2 Amps
2025-06-03 19:00:21,389 Volts,13.5 Amps
2025-06-03 19:00:22,389 Volts,13.8 Amps
2025-06-03 19:00:22,388 Volts,14.6 Amps
2025-06-03 19:00:22,388 Volts,14.5 Amps
2025-06-03 19:00:22,388 Volts,14.5 Amps
2025-06-03 19:00:22,388 Volts,14.4 Amps
2025-06-03 19:00:22,388 Volts,15.1 Amps
2025-06-03 19:00:22,388 Volts,15.1 Amps
2025-06-03 19:00:22,388 Volts,15.0 Amps
2025-06-03 19:00:22,388 Volts,14.3 Amps
2025-06-03 19:00:22,388 Volts,15.3 Amps
2025-06-03 19:00:23,388 Volts,15.3 Amps
2025-06-03 19:00:23,388 Volts,14 Amps
2025-06-03 19:00:23,388 Volts,13.1 Amps
2025-06-03 19:00:23,388 Volts,13.5 Amps
2025-06-03 19:00:23,388 Volts,13.8 Amps
2025-06-03 19:00:23,388 Volts,13.9 Amps
2025-06-03 19:00:23,388 Volts,13.9 Amps
2025-06-03 19:00:23,388 Volts,13.5 Amps
2025-06-03 19:00:23,388 Volts,13.6 Amps
2025-06-03 19:00:23,388 Volts,13.4 Amps
2025-06-03 19:00:24,388 Volts,13.2 Amps
2025-06-03 19:00:24,388 Volts,12.9 Amps
2025-06-03 19:00:24,389 Volts,11.3 Amps
2025-06-03 19:00:24,389 Volts,11.4 Amps
2025-06-03 19:00:24,389 Volts,10.5 Amps
2025-06-03 19:00:24,390 Volts,9.20 Amps
2025-06-03 19:00:24,389 Volts,9.68 Amps
2025-06-03 19:00:24,390 Volts,8.70 Amps
2025-06-03 19:00:24,390 Volts,8.05 Amps
2025-06-03 19:00:24,390 Volts,8.86 Amps
2025-06-03 19:00:25,390 Volts,8.00 Amps
2025-06-03 19:00:25,390 Volts,7.33 Amps
2025-06-03 19:00:25,390 Volts,6.85 Amps
2025-06-03 19:00:25,390 Volts,6.78 Amps
2025-06-03 19:00:25,390 Volts,6.78 Amps
2025-06-03 19:00:25,390 Volts,6.72 Amps
2025-06-03 19:00:25,391 Volts,6.65 Amps
2025-06-03 19:00:25,390 Volts,7.22 Amps
2025-06-03 19:00:25,391 Volts,6 Amps
2025-06-03 19:00:25,390 Volts,7.10 Amps
2025-06-03 19:00:26,390 Volts,6.78 Amps
2025-06-03 19:00:26,391 Volts,6.30 Amps
2025-06-03 19:00:26,391 Volts,5.77 Amps
2025-06-03 19:00:26,391 Volts,5.76 Amps
2025-06-03 19:00:26,391 Volts,5.73 Amps
2025-06-03 19:00:26,391 Volts,5.70 Amps
2025-06-03 19:00:26,391 Volts,5.62 Amps
2025-06-03 19:00:26,391 Volts,5.18 Amps
2025-06-03 19:00:26,391 Volts,4.88 Amps
2025-06-03 19:00:26,391 Volts,5 Amps
2025-06-03 19:00:27,391 Volts,4.82 Amps
2025-06-03 19:00:27,391 Volts,4.28 Amps
2025-06-03 19:00:27,391 Volts,4.34 Amps
2025-06-03 19:00:27,391 Volts,3.50 Amps
2025-06-03 19:00:27,392 Volts,2.72 Amps
2025-06-03 19:00:27,392 Volts,3.14 Amps
2025-06-03 19:00:27,392 Volts,3.26 Amps
2025-06-03 19:00:27,392 Volts,2.68 Amps
2025-06-03 19:00:27,392 Volts,2.80 Amps
2025-06-03 19:00:27,392 Volts,2.88 Amps
2025-06-03 19:00:28,392 Volts,2.80 Amps
2025-06-03 19:00:28,392 Volts,1.53 Amps
2025-06-03 19:00:28,393 Volts,-0.700 Amps
2025-06-03 19:00:28,393 Volts,-0.367 Amps
2025-06-03 19:00:28,393 Volts,-0.0400 Amps
2025-06-03 19:00:28,393 Volts,0.0250 Amps
2025-06-03 19:00:28,393 Volts,0 Amps
2025-06-03 19:00:28,393 Volts,0 Amps
2025-06-03 19:00:28,393 Volts,0 Amps
2025-06-03 19:00:28,393 Volts,0 Amps
2025-06-03 19:00:29,393 Volts,0 Amps
2025-06-03 19:00:29,393 Volts,0 Amps
2025-06-03 19:00:29,393 Volts,0.120 Amps
2025-06-03 19:00:29,393 Volts,0.500 Amps
2025-06-03 19:00:29,393 Volts,0.300 Amps
2025-06-03 19:00:29,392 Volts,1.02 Amps
2025-06-03 19:00:29,392 Volts,1.52 Amps
2025-06-03 19:00:29,392 Volts,2.08 Amps
2025-06-03 19:00:29,392 Volts,1.80 Amps
2025-06-03 19:00:29,392 Volts,4.50 Amps
2025-06-03 19:00:30,391 Volts,4.56 Amps
2025-06-03 19:00:30,392 Volts,2.76 Amps
2025-06-03 19:00:30,391 Volts,5.10 Amps
2025-06-03 19:00:30,392 Volts,3.56 Amps
2025-06-03 19:00:30,391 Volts,4.62 Amps
2025-06-03 19:00:30,392 Volts,2.64 Amps
2025-06-03 19:00:30,391 Volts,4.50 Amps
2025-06-03 19:00:30,392 Volts,2.72 Amps
2025-06-03 19:00:30,392 Volts,3.75 Amps
2025-06-03 19:00:30,391 Volts,4.37 Amps
2025-06-03 19:00:31,391 Volts,4.14 Amps
2025-06-03 19:00:31,391 Volts,4.60 Amps
2025-06-03 19:00:31,391 Volts,5.07 Amps
2025-06-03 19:00:31,391 Volts,3.80 Amps
2025-06-03 19:00:31,391 Volts,4.52 Amps
2025-06-03 19:00:31,391 Volts,4.15 Amps
2025-06-03 19:00:31,391 Volts,4.10 Amps
2025-06-03 19:00:31,391 Volts,4.36 Amps
2025-06-03 19:00:31,391 Volts,4.43 Amps
2025-06-03 19:00:31,391 Volts,4.76 Amps
2025-06-03 19:00:32,391 Volts,4.92 Amps
2025-06-03 19:00:32,391 Volts,5.90 Amps
2025-06-03 19:00:32,391 Volts,6.96 Amps
2025-06-03 19:00:32,390 Volts,8.43 Amps
2025-06-03 19:00:32,390 Volts,8.64 Amps
2025-06-03 19:00:32,389 Volts,10.0 Amps
2025-06-03 19:00:32,389 Volts,10.5 Amps
2025-06-03 19:00:32,389 Volts,10.7 Amps
2025-06-03 19:00:32,388 Volts,16.1 Amps
2025-06-03 19:00:32,387 Volts,18.6 Amps
2025-06-03 19:00:33,387 Volts,19.1 Amps
2025-06-03 19:00:33,387 Volts,17.0 Amps
2025-06-03 19:00:33,387 Volts,17.4 Amps
2025-06-03 19:00:33,389 Volts,9.86 Amps
2025-06-03 19:00:33,389 Volts,8.68 Amps
2025-06-03 19:00:33,389 Volts,11.6 Amps
2025-06-03 19:00:33,388 Volts,12.7 Amps
2025-06-03 19:00:33,389 Volts,12.4 Amps
2025-06-03 19:00:33,388 Volts,13.0 Amps
2025-06-03 19:00:33,388 Volts,14.4 Amps
2025-06-03 19:00:34,388 Volts,14.4 Amps
2025-06-03 19:00:34,388 Volts,14.6 Amps
2025-06-03 19:00:34,388 Volts,14.1 Amps
2025-06-03 19:00:34,388 Volts,13.2 Amps
2025-06-03 19:00:34,388 Volts,11.6 Amps
2025-06-03 19:00:34,387 Volts,15.3 Amps
2025-06-03 19:00:34,389 Volts,10.5 Amps
2025-06-03 19:00:34,389 Volts,10.8 Amps
2025-06-03 19:00:34,389 Volts,10.4 Amps
2025-06-03 19:00:34,388 Volts,11.9 Amps
2025-06-03 19:00:35,388 Volts,11.7 Amps
2025-06-03 19:00:35,388 Volts,12.4 Amps
2025-06-03 19:00:35,388 Volts,11.8 Amps
2025-06-03 19:00:35,389 Volts,10.1 Amps
2025-06-03 19:00:35,388 Volts,14.2 Amps
2025-06-03 19:00:35,389 Volts,10.7 Amps
2025-06-03 19:00:35,390 Volts,6.06 Amps
2025-06-03 19:00:35,387 Volts,20.2 Amps
2025-06-03 19:00:35,386 Volts,21.8 Amps
2025-06-03 19:00:35,389 Volts,8.04 Amps
2025-06-03 19:00:36,390 Volts,5.60 Amps
2025-06-03 19:00:36,388 Volts,15.3 Amps
2025-06-03 19:00:36,387 Volts,17.8 Amps
2025-06-03 19:00:36,387 Volts,16.0 Amps
2025-06-03 19:00:36,388 Volts,14.2 Amps
2025-06-03 19:00:36,388 Volts,13.1 Amps
2025-06-03 19:00:36,389 Volts,9.98 Amps
2025-06-03 19:00:36,389 Volts,10.2 Amps
2025-06-03 19:00:36,389 Volts,9.28 Amps
2025-06-03 19:00:36,389 Volts,8.90 Amps
2025-06-03 19:00:37,389 Volts,9.02 Amps
2025-06-03 19:00:37,391 Volts,1.20 Amps
2025-06-03 19:00:37,391 Volts,2.56 Amps
2025-06-03 19:00:37,392 Volts,1 Amps
2025-06-03 19:00:37,392 Volts,1.88 Amps
2025-06-03 19:00:37,391 Volts,3.52 Amps
2025-06-03 19:00:37,392 Volts,0.700 Amps
2025-06-03 19:00:37,392 Volts,-0.717 Amps
2025-06-03 19:00:37,392 Volts,-0.150 Amps
2025-06-03 19:00:37,392 Volts,0 Amps
2025-06-03 19:00:38,392 Volts,0.0400 Amps
2025-06-03 19:00:38,392 Volts,0.0250 Amps
2025-06-03 19:00:38,392 Volts,-0.0200 Amps
2025-06-03 19:00:38,392 Volts,0 Amps
2025-06-03 19:00:38,392 Volts,0 Amps
2025-06-03 19:00:38,392 Volts,0.0200 Amps
2025-06-03 19:00:38,392 Volts,0 Amps
2025-06-03 19:00:38,392 Volts,0 Amps
2025-06-03 19:00:38,392 Volts,0 Amps
2025-06-03 19:00:38,392 Volts,-0.0200 Amps
2025-06-03 19:00:39,392 Volts,0 Amps
2025-06-03 19:00:39,392 Volts,-0.0200 Amps
2025-06-03 19:00:39,392 Volts,0 Amps
2025-06-03 19:00:39,392 Volts,0 Amps
2025-06-03 19:00:39,392 Volts,0 Amps
2025-06-03 19:00:39,392 Volts,0 Amps
2025-06-03 19:00:39,392 Volts,-0.0200 Amps
2025-06-03 19:00:39,392 Volts,0 Amps
2025-06-03 19:00:39,393 Volts,0 Amps
2025-06-03 19:00:39,392 Volts,0 Amps
2025-06-03 19:00:40,392 Volts,0 Amps
2025-06-03 19:00:40,393 Volts,0 Amps
2025-06-03 19:00:40,392 Volts,0 Amps
2025-06-03 19:00:40,392 Volts,0 Amps
2025-06-03 19:00:40,393 Volts,0 Amps
2025-06-03 19:00:40,392 Volts,0 Amps
2025-06-03 19:00:40,392 Volts,0 Amps
2025-06-03 19:00:40,393 Volts,0 Amps
2025-06-03 19:00:40,392 Volts,0 Amps
2025-06-03 19:00:40,392 Volts,0 Amps
2025-06-03 19:00:41,393 Volts,0 Amps
2025-06-03 19:00:41,393 Volts,0 Amps
2025-06-03 19:00:41,392 Volts,0 Amps
2025-06-03 19:00:41,393 Volts,0 Amps
2025-06-03 19:00:41,393 Volts,0 Amps
2025-06-03 19:00:41,393 Volts,0 Amps
2025-06-03 19:00:41,393 Volts,0 Amps
2025-06-03 19:00:41,393 Volts,0 Amps
2025-06-03 19:00:41,393 Volts,0.0200 Amps
2025-06-03 19:00:41,393 Volts,0.380 Amps
2025-06-03 19:00:42,393 Volts,0 Amps
2025-06-03 19:00:42,393 Volts,-0.0200 Amps
2025-06-03 19:00:42,393 Volts,0 Amps
2025-06-03 19:00:42,393 Volts,0.180 Amps
2025-06-03 19:00:42,392 Volts,0.475 Amps
2025-06-03 19:00:42,393 Volts,0.120 Amps
2025-06-03 19:00:42,392 Volts,1.84 Amps
2025-06-03 19:00:42,391 Volts,5.54 Amps
2025-06-03 19:00:42,389 Volts,13.0 Amps
2025-06-03 19:00:42,390 Volts,7.10 Amps
2025-06-03 19:00:43,391 Volts,4.20 Amps
2025-06-03 19:00:43,391 Volts,3.90 Amps
2025-06-03 19:00:43,391 Volts,4.35 Amps
2025-06-03 19:00:43,391 Volts,4.38 Amps
2025-06-03 19:00:43,391 Volts,4.66 Amps
2025-06-03 19:00:43,391 Volts,6.50 Amps
2025-06-03 19:00:43,390 Volts,6.80 Amps
2025-06-03 19:00:43,391 Volts,5.43 Amps
2025-06-03 19:00:43,391 Volts,6.10 Amps
2025-06-03 19:00:43,391 Volts,4.92 Amps
2025-06-03 19:00:44,390 Volts,6.44 Amps
2025-06-03 19:00:44,391 Volts,5.50 Amps
2025-06-03 19:00:44,390 Volts,8.96 Amps
2025-06-03 19:00:44,390 Volts,8.70 Amps
2025-06-03 19:00:44,390 Volts,7.10 Amps
2025-06-03 19:00:44,390 Volts,8.04 Amps
2025-06-03 19:00:44,391 Volts,2.52 Amps
2025-06-03 19:00:44,391 Volts,5.08 Amps
2025-06-03 19:00:44,391 Volts,4.82 Amps
2025-06-03 19:00:44,391 Volts,5.50 Amps
2025-06-03 19:00:45,390 Volts,7.26 Amps
2025-06-03 19:00:45,391 Volts,5.94 Amps
2025-06-03 19:00:45,390 Volts,6.00 Amps
2025-06-03 19:00:45,391 Volts,4.15 Amps
2025-06-03 19:00:45,391 Volts,4.76 Amps
2025-06-03 19:00:45,391 Volts,5.16 Amps
2025-06-03 19:00:45,391 Volts,5.04 Amps
2025-06-03 19:00:45,391 Volts,5.52 Amps
2025-06-03 19:00:45,391 Volts,5.80 Amps
2025-06-03 19:00:45,391 Volts,5.32 Amps
2025-06-03 19:00:46,391 Volts,4.03 Amps
2025-06-03 19:00:46,391 Volts,4.93 Amps
2025-06-03 19:00:46,391 Volts,4.75 Amps
2025-06-03 19:00:46,391 Volts,4.68 Amps
2025-06-03 19:00:46,391 Volts,5.05 Amps
2025-06-03 19:00:46,391 Volts,4.55 Amps
2025-06-03 19:00:46,391 Volts,4.40 Amps
2025-06-03 19:00:46,391 Volts,4.32 Amps
2025-06-03 19:00:46,391 Volts,4.52 Amps
2025-06-03 19:00:46,391 Volts,4.92 Amps
2025-06-03 19:00:47,391 Volts,4.55 Amps
2025-06-03 19:00:47,391 Volts,5 Amps
2025-06-03 19:00:47,391 Volts,6.08 Amps
2025-06-03 19:00:47,391 Volts,5.14 Amps
2025-06-03 19:00:47,391 Volts,5.40 Amps
2025-06-03 19:00:47,390 Volts,6.34 Amps
2025-06-03 19:00:47,390 Volts,8.14 Amps
2025-06-03 19:00:47,390 Volts,8.55 Amps
2025-06-03 19:00:47,392 Volts,1.23 Amps
2025-06-03 19:00:47,390 Volts,6.83 Amps
2025-06-03 19:00:48,390 Volts,6.12 Amps
2025-06-03 19:00:48,391 Volts,5.42 Amps
2025-06-03 19:00:48,390 Volts,7.58 Amps
2025-06-03 19:00:48,389 Volts,11.8 Amps
2025-06-03 19:00:48,391 Volts,4.42 Amps
2025-06-03 19:00:48,391 Volts,3.88 Amps
2025-06-03 19:00:48,391 Volts,3.80 Amps
2025-06-03 19:00:48,390 Volts,5.93 Amps
2025-06-03 19:00:48,390 Volts,7.70 Amps
2025-06-03 19:00:48,390 Volts,7.20 Amps
2025-06-03 19:00:49,391 Volts,4.58 Amps
2025-06-03 19:00:49,390 Volts,5.45 Amps
2025-06-03 19:00:49,390 Volts,6.24 Amps
2025-06-03 19:00:49,390 Volts,6.86 Amps
2025-06-03 19:00:49,390 Volts,6.28 Amps
2025-06-03 19:00:49,390 Volts,5.68 Amps
2025-06-03 19:00:49,390 Volts,5.80 Amps
2025-06-03 19:00:49,391 Volts,2.10 Amps
2025-06-03 19:00:49,390 Volts,6.52 Amps
2025-06-03 19:00:49,391 Volts,5.03 Amps
2025-06-03 19:00:50,391 Volts,4.82 Amps
2025-06-03 19:00:50,391 Volts,4.74 Amps
2025-06-03 19:00:50,391 Volts,5.50 Amps
2025-06-03 19:00:50,391 Volts,3.68 Amps
2025-06-03 19:00:50,391 Volts,4.93 Amps
2025-06-03 19:00:50,391 Volts,4.22 Amps
2025-06-03 19:00:50,391 Volts,4.02 Amps
2025-06-03 19:00:50,391 Volts,3.40 Amps
2025-06-03 19:00:50,391 Volts,2.72 Amps
2025-06-03 19:00:50,391 Volts,2.98 Amps
2025-06-03 19:00:51,391 Volts,2.34 Amps
2025-06-03 19:00:51,392 Volts,0.900 Amps
2025-06-03 19:00:51,392 Volts,-0.0800 Amps
2025-06-03 19:00:51,392 Volts,-0.140 Amps
2025-06-03 19:00:51,392 Volts,-0.0400 Amps
2025-06-03 19:00:51,392 Volts,0.260 Amps
2025-06-03 19:00:51,392 Volts,0.0250 Amps
2025-06-03 19:00:51,392 Volts,0.575 Amps
2025-06-03 19:00:51,392 Volts,0.317 Amps
2025-06-03 19:00:51,392 Volts,0.120 Amps
2025-06-03 19:00:52,392 Volts,0.140 Amps
2025-06-03 19:00:52,392 Volts,0.175 Amps
2025-06-03 19:00:52,392 Volts,0.220 Amps
2025-06-03 19:00:52,392 Volts,0.150 Amps
2025-06-03 19:00:52,392 Volts,0 Amps
2025-06-03 19:00:52,392 Volts,0 Amps
2025-06-03 19:00:52,392 Volts,0 Amps
2025-06-03 19:00:52,393 Volts,0 Amps
2025-06-03 19:00:52,393 Volts,0 Amps
2025-06-03 19:00:52,392 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:53,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:54,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:55,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:56,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:57,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:58,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:00:59,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:00,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:01,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:02,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:03,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:04,393 Volts,0 Amps
2025-06-03 19:01:05,393 Volts,0 Amps
2025-06-03 19:01:05,393 Volts,0 Amps
