sep=,
"Time","sensorReading {messageName=""M165_Motor_Position_Info"", rawCAN=""165"", signalName=""INV_Motor_Speed""}"
2025-05-20 21:55:45.700,948
2025-05-20 21:55:45.800,949
2025-05-20 21:55:45.900,944
2025-05-20 21:55:46.000,941
2025-05-20 21:55:46.100,944
2025-05-20 21:55:46.200,939
2025-05-20 21:55:46.300,941
2025-05-20 21:55:46.400,943
2025-05-20 21:55:46.500,947
2025-05-20 21:55:46.600,950
2025-05-20 21:55:46.700,957
2025-05-20 21:55:46.769,963
